iter	Passed	Remaining
0	89	89032
1	94	46940
2	98	32695
3	103	25784
4	115	23080
5	120	20011
6	125	17857
7	130	16151
8	134	14810
9	139	13773
10	143	12927
11	148	12220
12	152	11587
13	157	11091
14	161	10630
15	166	10240
16	170	9867
17	174	9533
18	179	9257
19	184	9044
20	189	8842
21	193	8619
22	197	8404
23	203	8286
24	208	8122
25	212	7953
26	216	7790
27	220	7662
28	225	7564
29	229	7436
30	233	7306
31	238	7209
32	242	7111
33	246	7002
34	250	6910
35	254	6825
36	259	6742
37	262	6656
38	267	6594
39	271	6521
40	275	6445
41	279	6379
42	283	6319
43	288	6266
44	292	6207
45	296	6158
46	300	6100
47	305	6068
48	309	6013
49	314	5970
50	318	5920
51	322	5871
52	327	5847
53	332	5824
54	337	5795
55	341	5752
56	345	5712
57	349	5681
58	354	5647
59	357	5605
60	362	5576
61	366	5546
62	370	5514
63	374	5479
64	379	5451
65	382	5417
66	386	5385
67	391	5361
68	395	5331
69	399	5301
70	404	5287
71	408	5265
72	412	5242
73	416	5213
74	420	5191
75	425	5171
76	428	5142
77	433	5120
78	438	5107
79	443	5102
80	448	5085
81	452	5063
82	457	5050
83	462	5039
84	467	5036
85	472	5022
86	476	5002
87	480	4983
88	485	4970
89	490	4957
90	493	4934
91	498	4919
92	503	4909
93	507	4891
94	511	4871
95	515	4857
96	520	4844
97	524	4825
98	528	4807
99	532	4794
100	536	4779
101	540	4760
102	544	4744
103	549	4733
104	553	4717
105	557	4700
106	561	4688
107	565	4672
108	569	4655
109	573	4642
110	577	4628
111	581	4613
112	586	4600
113	590	4586
114	593	4570
115	598	4562
116	604	4564
117	609	4554
118	613	4541
119	617	4528
120	621	4518
121	626	4509
122	630	4495
123	634	4482
124	635	4449
125	640	4440
126	644	4432
127	648	4421
128	652	4407
129	657	4397
130	661	4387
131	665	4374
132	669	4362
133	673	4355
134	677	4342
135	681	4331
136	686	4323
137	690	4314
138	694	4302
139	699	4294
140	703	4287
141	708	4282
142	712	4271
143	717	4263
144	721	4256
145	726	4251
146	730	4240
147	734	4229
148	739	4222
149	743	4211
150	747	4200
151	751	4193
152	755	4184
153	759	4174
154	763	4164
155	768	4157
156	772	4148
157	776	4139
158	781	4131
159	785	4123
160	789	4112
161	793	4104
162	798	4100
163	803	4093
164	807	4087
165	812	4079
166	816	4074
167	821	4070
168	826	4066
169	831	4057
170	835	4050
171	840	4046
172	845	4042
173	850	4036
174	854	4028
175	859	4023
176	863	4016
177	868	4009
178	872	4000
179	876	3992
180	880	3986
181	885	3979
182	889	3969
183	893	3962
184	898	3958
185	903	3953
186	907	3944
187	911	3938
188	916	3933
189	922	3933
190	927	3929
191	932	3922
192	936	3913
193	940	3908
194	945	3902
195	950	3897
196	954	3890
197	959	3885
198	963	3880
199	968	3874
200	973	3868
201	977	3862
202	982	3857
203	987	3854
204	992	3848
205	997	3842
206	1001	3835
207	1005	3830
208	1010	3825
209	1015	3820
210	1020	3814
211	1024	3808
212	1029	3802
213	1033	3797
214	1039	3795
215	1044	3789
216	1048	3783
217	1052	3776
218	1057	3770
219	1062	3766
220	1066	3757
221	1070	3751
222	1074	3745
223	1078	3737
224	1082	3729
225	1087	3723
226	1091	3717
227	1095	3709
228	1100	3705
229	1105	3700
230	1110	3697
231	1114	3689
232	1118	3681
233	1122	3675
234	1127	3669
235	1132	3664
236	1136	3658
237	1140	3651
238	1144	3645
239	1148	3638
240	1153	3631
241	1157	3626
242	1162	3621
243	1166	3613
244	1170	3607
245	1175	3603
246	1180	3598
247	1184	3590
248	1188	3583
249	1192	3577
250	1196	3569
251	1200	3563
252	1205	3558
253	1209	3552
254	1213	3545
255	1217	3538
256	1222	3533
257	1226	3527
258	1230	3520
259	1235	3515
260	1239	3510
261	1243	3504
262	1247	3496
263	1252	3491
264	1256	3486
265	1261	3479
266	1265	3473
267	1269	3467
268	1273	3460
269	1277	3452
270	1281	3447
271	1285	3441
272	1289	3434
273	1294	3429
274	1298	3423
275	1302	3417
276	1307	3411
277	1311	3406
278	1316	3401
279	1320	3394
280	1324	3388
281	1328	3383
282	1333	3377
283	1336	3370
284	1340	3363
285	1345	3358
286	1349	3351
287	1353	3345
288	1357	3339
289	1361	3333
290	1365	3326
291	1369	3321
292	1374	3316
293	1378	3309
294	1382	3303
295	1386	3298
296	1392	3294
297	1396	3289
298	1401	3285
299	1406	3280
300	1410	3275
301	1415	3271
302	1419	3266
303	1424	3261
304	1429	3256
305	1433	3251
306	1438	3247
307	1442	3241
308	1447	3237
309	1453	3234
310	1457	3229
311	1462	3224
312	1466	3218
313	1471	3213
314	1475	3208
315	1479	3203
316	1484	3197
317	1488	3193
318	1493	3188
319	1497	3181
320	1501	3176
321	1507	3173
322	1512	3169
323	1516	3163
324	1520	3157
325	1524	3152
326	1529	3147
327	1533	3141
328	1537	3135
329	1542	3130
330	1547	3126
331	1551	3121
332	1555	3114
333	1559	3109
334	1563	3104
335	1568	3098
336	1572	3093
337	1576	3087
338	1581	3083
339	1585	3076
340	1589	3071
341	1594	3066
342	1598	3061
343	1601	3054
344	1606	3049
345	1611	3045
346	1615	3039
347	1619	3033
348	1623	3028
349	1627	3023
350	1631	3016
351	1635	3011
352	1640	3006
353	1644	3000
354	1648	2995
355	1652	2989
356	1656	2983
357	1660	2978
358	1665	2973
359	1670	2969
360	1674	2964
361	1678	2958
362	1683	2953
363	1687	2947
364	1690	2941
365	1695	2937
366	1700	2932
367	1704	2926
368	1708	2921
369	1712	2916
370	1717	2911
371	1721	2905
372	1725	2900
373	1729	2895
374	1734	2890
375	1738	2884
376	1742	2880
377	1747	2875
378	1751	2870
379	1755	2864
380	1760	2859
381	1764	2854
382	1767	2848
383	1772	2842
384	1776	2837
385	1780	2832
386	1784	2827
387	1789	2822
388	1793	2817
389	1797	2811
390	1801	2806
391	1806	2802
392	1811	2798
393	1815	2792
394	1819	2787
395	1824	2782
396	1828	2777
397	1832	2772
398	1837	2767
399	1842	2763
400	1846	2758
401	1850	2752
402	1854	2747
403	1859	2742
404	1862	2736
405	1866	2731
406	1871	2726
407	1875	2721
408	1879	2715
409	1883	2710
410	1887	2705
411	1892	2700
412	1896	2695
413	1901	2691
414	1906	2687
415	1911	2683
416	1915	2678
417	1919	2673
418	1924	2669
419	1929	2665
420	1934	2660
421	1939	2656
422	1944	2652
423	1949	2648
424	1954	2644
425	1959	2640
426	1963	2635
427	1968	2630
428	1972	2626
429	1976	2620
430	1980	2614
431	1984	2609
432	1989	2604
433	1993	2599
434	1997	2594
435	2001	2589
436	2006	2585
437	2011	2581
438	2015	2576
439	2020	2571
440	2024	2566
441	2029	2562
442	2033	2556
443	2037	2551
444	2042	2546
445	2046	2541
446	2050	2536
447	2054	2531
448	2059	2527
449	2063	2521
450	2067	2516
451	2072	2512
452	2076	2507
453	2080	2501
454	2084	2496
455	2089	2492
456	2093	2487
457	2097	2482
458	2101	2477
459	2106	2472
460	2111	2468
461	2115	2463
462	2119	2458
463	2123	2453
464	2127	2447
465	2132	2443
466	2136	2438
467	2140	2433
468	2144	2428
469	2149	2423
470	2153	2418
471	2157	2413
472	2161	2408
473	2165	2402
474	2169	2398
475	2173	2392
476	2177	2387
477	2182	2382
478	2185	2377
479	2190	2372
480	2194	2368
481	2199	2363
482	2203	2358
483	2208	2354
484	2213	2350
485	2217	2345
486	2221	2340
487	2226	2335
488	2230	2331
